"","Binomial","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","lat","lon","fullCountry","temp","precip"
"43","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-23.835602,28.256836,"Zimbabwe",18.4,580
"44","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.103029,37.035703,"Kenya",15.4,934
"45","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.15604,37.018948,"Kenya",15.4,934
"46","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.002778,31.531389,"Tanzania, United Republic of",20.7,1402
"47","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-5.54167,37.56667,"Tanzania, United Republic of",21.7,955
"48","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-9.135235,33.667435,"Tanzania, United Republic of",15.4,2127
"49","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-8.51944,35.904171,"Tanzania, United Republic of",24.4,1369
"50","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-8.34722,35.938889,"Tanzania, United Republic of",19.6,1306
"51","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.3555,30.2193,"Uganda",19.8,1212
"52","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.3915,30.0394,"Uganda",20.3,1248
"53","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.4364,29.8909,"Uganda",22.5,995
"54","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,1.8956,31.7208,"Uganda",23.5,1259
"55","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.3833,29.9333,"Uganda",8.3,1887
"56","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.3735,29.9629,"Uganda",8.3,1887
"57","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.3833,29.883301,"Uganda",8.3,1887
"58","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.4094,29.9359,"Uganda",8.3,1887
"59","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.3523,30.1226,"Uganda",20.3,1248
"60","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.5624,29.9899,"Uganda",19.9,1395
"61","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.4634,30.0484,"Uganda",20.3,1248
"62","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.15,37,"Kenya",15.4,934
"63","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.3825,29.9719,"Uganda",8.3,1887
"64","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.3666,30,"Uganda",16.7,1431
"65","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.083333,31.583333,"Tanzania, United Republic of",20.7,1402
"66","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.55,35.27,"Tanzania, United Republic of",22,697
"67","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-2.436111,34.821111,"Tanzania, United Republic of",20.6,852
"68","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,7.33333,-3.06693,"Ghana",26.3,1176
"69","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1,29.66667,"Uganda",16.1,1323
"70","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.41667,30,"Uganda",16.7,1431
"71","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.06242527628755,37.3508425336231,"Tanzania, United Republic of",5.4,1643
